Item,Qty,Reference(s),Value,Description,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number
1,9,"C1, C2, C3, C4, C12, C13, C26, C27, C28",0.1uF,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 0.1uF C0G 1206 5%,Kyocera,1206YC104JAT2A,581-1206YC104JAT2A
2,7,"C5, C6, C7, C8, C9, C10, C11",0.1uF,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 0.1uF C0G 1206 5%,Kyocera,1206YC104JAT2A,581-1206YC104JAT2A
3,2,"C14, C15",10uF,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.10uF +-10% 25V ,Walsin,1206B104K250CT,791-1206B104K250CT
4,2,"C16, C17",220pF,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 220pF C0G 1206 5% ,Kemet,C1206C221J5GAC7800,80-C1206C221J5GACTU
5,2,"C18, C19",22nF,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1206 0.022uF 50volts X7R 10% ,Vishay,VJ1206Y223KXACW1BC,77-VJ1206Y223KXACW1BC
6,2,"C20, C21",470pF,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1206 470pF 10volts C0G 10%,Vishay,VJ1206A471KXQCBC ,77-VJ1206A471KXQCBC 
7,4,"C22, C23, C24, C25",47uF,Multilayer Ceramic Capacitors MLCC - SMD/SMT 47UF 10V 10% 1206,Murata,GRM31CR61A476KE5L,81-GRM31CR61A476KE5L
8,2,"D1, D2",SB140,Schottky Diodes & Rectifiers 40V 2A SIZE 1206 ,Kyocera,SD1206T040S2R0,581-SD1206T040S2R0
9,1,D3,3.3V,Standard LEDs - Through Hole Green Diffused ,Lite-On,LTL-4231N,859-LTL-4231N
10,1,D4,5V,Standard LEDs - Through Hole Green Diffused ,Lite-On,LTL-4231N,859-LTL-4231N
11,1,D5,LED,Standard LEDs - Through Hole Green Diffused ,Lite-On,LTL-4231N,859-LTL-4231N
12,1,H1,IDE-44-PIN,Conn Unshrouded Header HDR 44 POS 2mm Solder ST Thru-Hole Bulk,Amphenol,57102-G06-22LF,649-57102-G06-22LF
13,2,"IC1, IC2",L5970D013TR,"L5970D013TR, Switching Regulator, Buck Controller, 1A, Adjustable, 275 kHz, 8-Pin SO",STMicroelectronics,L5970D013TR,511-L5970D013TR
14,1,J1,CPLD_JTAG,Headers & Wire Housings 40P STRT 1 ROW GOLD,3M,2340-6211TG,517-6211TG
15,1,J2,DUART_IO,Headers & Wire Housings 40P STRT 1 ROW GOLD,3M,2340-6211TG,517-6211TG
16,1,J3,RAPC722BK,"SWITCHCRAFT/CONXALL - RAPC722BK - CONNECTOR, DC POWER, SOCKET, 5A, THT",Switchcraft,RAPC722BK,502-RAPC722BK
17,2,"L1, L2",SRN5040TA-101K,Inductor SMD 4.95x4.95x3.8mm 100uH 0.72A,Bourns,SRN5040TA-101K,652-SRN5040TA-101K
18,5,"R1, R2, R3, R4, R5",2.2k,Thick Film Resistors - SMD 2.2K 5%,Bourns,CR1206JW-222ELF,652-CR1206JW-222ELF
19,3,"R6, R7, R8",4.7k,Thick Film Resistors - SMD 4.7K 5%,Bourns,CR1206-JW-472ELF,652-CR1206-JW-472ELF
20,2,"R9, R10",10K,Thick Film Resistors - SMD 10K 5%,Bourns,CR1206JW-103ELF,652-CR1206JW-103ELF
21,3,"R11, R12, R15",4.7K,Thick Film Resistors - SMD 4.7K 5%,Bourns,CR1206-JW-472ELF,652-CR1206-JW-472ELF
22,1,R13,3.9K,Thick Film Resistors - SMD 3.9K 5%,Bourns,CR1206JW-392ELF ,652-CR1206JW-392ELF 
23,1,R14,1.2K,Thick Film Resistors - SMD 1.2K 5% ,Bourns,CR1206JW-122ELF,652-CR1206JW-122ELF
24,1,R16,2.7K,Thick Film Resistors - SMD 2.7K 5% ,Bourns,CR1206JW-272ELF,652-CR1206JW-272ELF
25,2,"R17, R18",390,Thick Film Resistors - SMD 390ohm 5%,Bourns,CR1206JW-391ELF,652-CR1206JW-391ELF
26,1,R19,330,Thick Film Resistors - SMD 330ohm 5%,Bourns,CR1206JW-331ELF,652-CR1206JW-331ELF
27,2,"R20, R21",680,Thick Film Resistors - SMD 680ohm 5%,Bourns,CR1206JW-681ELF ,652-CR1206JW-681ELF 
28,1,RN1,22,Resistor Networks & Arrays 16pin 22ohms Isolated Low Profile,Bourns,4116R-1LF-22,652-4116R-1LF-22
29,1,S2,POWER_SW,Pushbutton Switches SPST ON-OFF,CW Industries,GPTS203212B,629-GPTS203212B
30,1,SW1,RESET_SW,"Tactile Switches 6 x 6 mm, 17 mm Act Height, 160 gf, Black, Short Crimped, Through Hole, SPST,",CUI Inc.,TS02-66-170-BK-160-SCR-D,179-TS0266170BK160SC
31,1,U1,MCP100-465D,Supervisory Circuits Push-Pull Low,Microchip Technology,MCP100-475DI/TO,579-MCP100-475DI/TO
32,1,U2,68010D,MC68010 CPU,Freescale Semiconductor,,
33,1,U3,XC9572XL-VQ44,CPLD - Complex Programmable Logic Devices 3.3V 72-mc CPLD ,Xilinx,XC9572XL-7VQ44I ,217-XC9572XL-7VQ44I 
34,1,U4,MC68681,MC68681 DUART,Freescale Semiconductor,,
35,1,U5,74HC373,Latches Octal Transparent D-Type Latches,Texas Instruments,SN74HC373AN,595-SN74HC373AN
36,1,U6,CONSOLE,Headers & Wire Housings 40P STRT 1 ROW GOLD,3M,2340-6211TG,517-6211TG
37,1,U7,DS12887+,Real Time Clock Real-Time Clocks,Maxim Integrated,DS12887+,700-DS12887
38,2,"U8, U9",KM684000BLP-7L,,,,
39,2,"U10, U11",28C256,,,,
40,1,X1,CLOCK,Standard Clock Oscillators 10.00000 MHz,CTS,MXO45-3C-10M0000,774-MXO45-3C-10.0
41,1,X2,CXO_DIP14,Standard Clock Oscillators SMD 5V 3.6864MHz,Vishay,XO57CTECNA3M6864,73-XOSM57BE368
